"filename", "language", "pip requirements", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"d:\Vehicle Access Management\app.py", "Python", 0, 352, 0, 0, 6, 82, 440
"d:\Vehicle Access Management\database\db_config.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\Vehicle Access Management\requirements.txt", "pip requirements", 28, 0, 0, 0, 0, 1, 29
"d:\Vehicle Access Management\static\css\style.css", "PostCSS", 0, 0, 0, 33, 0, 5, 38
"d:\Vehicle Access Management\templates\admin.html", "HTML", 0, 0, 77, 0, 2, 12, 91
"d:\Vehicle Access Management\templates\dashboard.html", "HTML", 0, 0, 32, 0, 0, 4, 36
"d:\Vehicle Access Management\templates\details.html", "HTML", 0, 0, 67, 0, 0, 8, 75
"d:\Vehicle Access Management\templates\enter_details.html", "HTML", 0, 0, 121, 0, 4, 19, 144
"d:\Vehicle Access Management\templates\hod.html", "HTML", 0, 0, 75, 0, 0, 12, 87
"d:\Vehicle Access Management\templates\hod_details.html", "HTML", 0, 0, 55, 0, 0, 5, 60
"d:\Vehicle Access Management\templates\hod_requests.html", "HTML", 0, 0, 106, 0, 0, 15, 121
"d:\Vehicle Access Management\templates\login.html", "HTML", 0, 0, 127, 0, 2, 9, 138
"d:\Vehicle Access Management\templates\pass.html", "HTML", 0, 0, 126, 0, 0, 17, 143
"d:\Vehicle Access Management\templates\register.html", "HTML", 0, 0, 87, 0, 0, 9, 96
"d:\Vehicle Access Management\templates\security.html", "HTML", 0, 0, 75, 0, 0, 12, 87
"d:\Vehicle Access Management\templates\security_details.html", "HTML", 0, 0, 58, 0, 0, 9, 67
"d:\Vehicle Access Management\templates\security_requests.html", "HTML", 0, 0, 125, 0, 0, 17, 142
"Total", "-", 28, 352, 1131, 33, 14, 237, 1795
